> paru -Q
a52dec 0.8.0-2
aalib 1.4rc5-18
aardvark-dns 1.11.0-1
abseil-cpp 20240116.2-2
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
adwaita-qt5-git 1.4.1.r29.g0a77436-1
adwaita-qt6-git 1.4.1.r29.g0a77436-1
alsa-card-profiles 1:1.0.7-2
alsa-lib 1.2.12-1
alsa-plugins 1:1.2.12-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.12-1
amd-ucode 20240610.9c10a208-1
amdvlk 2024.Q2.1-1
aom 3.9.1-1
apache 2.4.59-1
appstream 1.0.3-1
appstream-glib 0.8.3-1
apr 1.7.4-1
apr-util 1.6.3-1
archlinux-java-run 10-1
archlinux-keyring 20240609-1
argon2 20190702-5
aribb24 1.0.3-3
ark 24.05.1-1
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica5 5.116.0-1
attr 2.5.2-1
atuin 18.3.0-1
audit 4.0.1-3
auto-cpufreq 2.3.0-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-2
ayatana-ido 0.10.2-1
baobab 46.0-1
base 3-2
base-devel 1-1
bash 5.2.026-2
bashtop 0.9.25-1
bat 0.24.0-2
binutils 2.42+r91+g6224493e457-1
bison 3.8.2-6
blas 3.12.0-5
bluez 5.76-1
bluez-libs 5.76-1
bluez-utils 5.76-1
bolt 0.9.8-1
boost-libs 1.83.0-8
box2d 2.4.1-2
brave-bin 1:1.66.115-1
breeze-icons 6.3.0-1
bridge-utils 1.7.1-2
brltty 6.6-9
brotli 1.1.0-2
btrfs-progs 6.9-1
bubblewrap 0.9.0-1
bzip2 1.0.8-6
c-ares 1.29.0-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.101-1
ca-certificates-utils 20240618-1
cairo 1.18.0-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-1
catatonit 0.2.0-3
cbindgen 0.26.0-2
cblas 3.12.0-5
ccache 4.10-2
cdparanoia 10.2-9
chromaprint 1.5.1-7
cifs-utils 7.0-3
cjson 1.7.18-1
clang 17.0.6-2
clazy 1.11-5
clucene 2.3.3.4-14
cmake 3.29.6-1
cmark 0.31.0-2
colord 1.4.7-2
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
colord-sane 1.4.7-2
compiler-rt 17.0.6-2
composefs 1.0.3-1
confuse 3.3-4
conmon 1:2.1.12-1
containerd 1.7.18-1
containers-common 1:0.59.1-1
convertlit 1.8-11
coreutils 9.5-1
cppdap 1.58.0-1
cpupower 6.9-1
cpupower-gui 1.0.0-5
cracklib 2.9.11-1
criu 3.19-1
cronie 1.7.2-1
crun 1.15-1
cryptsetup 2.7.3-1
ctemplate 2.4-3
cups-pk-helper 0.2.7-1
curl 8.8.0-1
cython 3.0.10-3
dav1d 1.4.2-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-2
dbus-broker-units 36-2
dbus-glib 0.112-3
dconf 0.40.0-2
dconf-editor 45.0.1-1
debugedit 5.0-6
default-cursors 2-1
dejagnu 1.6.3-9
desktop-file-utils 0.27-1
device-mapper 2.03.24-1
diffutils 3.10-1
djvulibre 3.5.28-6
dmidecode 3.5-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:26.1.4-1
docker-compose 2.28.0-1
dosfstools 4.2-3
dotconf 1.4.1-1
double-conversion 3.3.0-1
doxygen 1.11.0-3
dpkg 1.22.6-1
duf 0.8.1-2
duktape 2.7.0-6
dust 1.0.0-3
dvisvgm 3.3-1
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
electron 1:31-1
electron28 28.3.3-2
electron30 30.1.1-1
electron31 31.0.1-1
ell 0.66-1
enchant 2.8.0-1
esbuild 0.21.5-1
evince 46.3-1
exempi 2.6.5-1
exiv2 0.28.2-4
expac 10-10
expat 2.6.2-1
expect 5.45.4-4
eza 0.18.18-1
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.35-1
fastfetch 2.16.0-1
fd 10.1.0-1
ffcall 2.4-2
ffmpeg 2:6.1.1-7
ffmpeg4.4 4.4.4-5
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.10.0-1
firefox 127.0.1-1
flac 1.4.3-1
flameshot 12.1.0-3
flashrom 1.3.0-3
flatpak 1:1.15.8-1
flex 2.6.4-5
fluidsynth 2.3.5-1
fmt 10.2.0-1
fnm 1.35.1-1
fontconfig 2:2.15.0-2
fontforge 20230101-4
freeglut 3.6.0-1
freerdp 2:3.5.1-2
freetype2 2.13.2-1
fribidi 1.0.15-1
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fwupd-efi 1.6-1
fzf 0.53.0-1
gawk 5.3.0-1
gc 8.2.6-1
gcab 1.6-1
gcc 14.1.1+r58+gfc9fb69ad62-1
gcc-ada 14.1.1+r58+gfc9fb69ad62-1
gcc-d 14.1.1+r58+gfc9fb69ad62-1
gcc-libs 14.1.1+r58+gfc9fb69ad62-1
gcc12 12.3.0-5
gcc12-libs 12.3.0-5
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-7
gdbm 1.23-2
gdk-pixbuf2 2.42.12-1
gdm 46.2-1
gdu 5.29.0-1
geoclue 2.7.1-3
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.22.5-1
ghostscript 10.03.1-1
giflib 5.2.2-1
git 2.45.2-1
gjs 2:1.80.2-2
glib-networking 1:2.80.0-1
glib2 2.80.3-2
glib2-docs 2.80.3-2
glibc 2.39+r52+gf8e4623421-1
glibmm 2.66.7-1
glibmm-2.68 2.80.0-1
glslang 14.2.0-1
glu 9.0.3-1
glycin 1.0.1-1
gmp 6.3.0-2
gn 0.2174.b3a0bff4-1
gnome-autoar 0.4.4-1
gnome-backgrounds 46.0-1
gnome-bluetooth-3.0 46.0-1
gnome-calculator 46.1-1
gnome-characters 46.0-1
gnome-color-manager 3.36.0+r62+g82000f1d-1
gnome-console 46.0-2
gnome-control-center 46.2-1
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-disk-utility 46.0-1
gnome-font-viewer 46.0-2
gnome-keybindings 46.2-1
gnome-keyring 1:46.1-2
gnome-logs 45.0-1
gnome-menus 3.36.0-2
gnome-online-accounts 3.50.2-1
gnome-power-manager 43.0-1
gnome-remote-desktop 46.2-1
gnome-session 46.0-2
gnome-settings-daemon 46.0-1
gnome-shell 1:46.2-1
gnome-shell-extensions 46.2-1
gnome-shell-pomodoro 0.25.1-1
gnome-system-monitor 46.0-1
gnome-text-editor 46.3-1
gnome-tweaks 46.1-1
